dataset,n_items,capacity,optimum,experiment,series,runs,best,mean_best,std_best,best_to_optimum_pct,mean_to_optimum_pct,runs_reaching_optimum
f3_l-d_kp_4_20,4,20.0,35.0,mutation_rate,p_m = 0.001,10,35.0,35.0,0.0,100.0,100.0,10
f3_l-d_kp_4_20,4,20.0,35.0,mutation_rate,p_m = 0.005,10,35.0,35.0,0.0,100.0,100.0,10
f3_l-d_kp_4_20,4,20.0,35.0,mutation_rate,p_m = 0.01,10,35.0,35.0,0.0,100.0,100.0,10
f3_l-d_kp_4_20,4,20.0,35.0,mutation_rate,p_m = 0.05,10,35.0,35.0,0.0,100.0,100.0,10
f3_l-d_kp_4_20,4,20.0,35.0,mutation_rate,p_m = 0.1,10,35.0,35.0,0.0,100.0,100.0,10
f3_l-d_kp_4_20,4,20.0,35.0,crossover_rate,p_c = 0.5,10,35.0,35.0,0.0,100.0,100.0,10
f3_l-d_kp_4_20,4,20.0,35.0,crossover_rate,p_c = 0.7,10,35.0,35.0,0.0,100.0,100.0,10
f3_l-d_kp_4_20,4,20.0,35.0,crossover_rate,p_c = 0.9,10,35.0,35.0,0.0,100.0,100.0,10
f3_l-d_kp_4_20,4,20.0,35.0,crossover_rate,p_c = 1,10,35.0,35.0,0.0,100.0,100.0,10
f3_l-d_kp_4_20,4,20.0,35.0,selection,roulette,10,35.0,35.0,0.0,100.0,100.0,10
f3_l-d_kp_4_20,4,20.0,35.0,selection,rank,10,35.0,35.0,0.0,100.0,100.0,10
f3_l-d_kp_4_20,4,20.0,35.0,selection,tournament,10,35.0,35.0,0.0,100.0,100.0,10
f3_l-d_kp_4_20,4,20.0,35.0,crossover,one-point,10,35.0,35.0,0.0,100.0,100.0,10
f3_l-d_kp_4_20,4,20.0,35.0,crossover,two-point,10,35.0,35.0,0.0,100.0,100.0,10
f3_l-d_kp_4_20,4,20.0,35.0,elitism,elitism = 0,10,35.0,35.0,0.0,100.0,100.0,10
f3_l-d_kp_4_20,4,20.0,35.0,elitism,elitism = 1,10,35.0,35.0,0.0,100.0,100.0,10
f4_l-d_kp_4_11,4,11.0,23.0,mutation_rate,p_m = 0.001,10,23.0,23.0,0.0,100.0,100.0,10
f4_l-d_kp_4_11,4,11.0,23.0,mutation_rate,p_m = 0.005,10,23.0,23.0,0.0,100.0,100.0,10
f4_l-d_kp_4_11,4,11.0,23.0,mutation_rate,p_m = 0.01,10,23.0,23.0,0.0,100.0,100.0,10
f4_l-d_kp_4_11,4,11.0,23.0,mutation_rate,p_m = 0.05,10,23.0,23.0,0.0,100.0,100.0,10
f4_l-d_kp_4_11,4,11.0,23.0,mutation_rate,p_m = 0.1,10,23.0,23.0,0.0,100.0,100.0,10
f4_l-d_kp_4_11,4,11.0,23.0,crossover_rate,p_c = 0.5,10,23.0,23.0,0.0,100.0,100.0,10
f4_l-d_kp_4_11,4,11.0,23.0,crossover_rate,p_c = 0.7,10,23.0,23.0,0.0,100.0,100.0,10
f4_l-d_kp_4_11,4,11.0,23.0,crossover_rate,p_c = 0.9,10,23.0,23.0,0.0,100.0,100.0,10
f4_l-d_kp_4_11,4,11.0,23.0,crossover_rate,p_c = 1,10,23.0,23.0,0.0,100.0,100.0,10
